transaction_id,date,client_id,banque,categorie,type,montant,solde_apres,ville,canal
TXN000001,2024-11-23,CLIENT_0189,BNP Paribas,Transport,Débit,-691.2,2959.77,Lyon,Mobile
TXN000002,2024-08-04,CLIENT_0007,La Banque Postale,Alimentation,Débit,-550.5,7333.01,Bordeaux,Mobile
TXN000003,2024-08-02,CLIENT_0195,Société Générale,Santé,Débit,-699.09,12974.15,Nantes,Prélèvement
TXN000004,2024-05-22,CLIENT_0098,BNP Paribas,Logement,Débit,-1909.92,1084.26,Toulouse,Prélèvement
TXN000005,2024-11-05,CLIENT_0097,BNP Paribas,Loisirs,Débit,-1825.68,7811.54,Lille,Mobile
TXN000006,2024-07-04,CLIENT_0170,Société Générale,Remboursement,Crédit,1001.83,578.1,Lille,Carte bancaire
TXN000007,2024-04-29,CLIENT_0042,Crédit Agricole,Transport,Débit,-1136.26,12428.71,Toulouse,Virement
TXN000008,2024-12-09,CLIENT_0163,Société Générale,Loisirs,Débit,-1710.45,606.74,Bordeaux,Virement
TXN000009,2024-08-24,CLIENT_0057,Crédit Agricole,Épargne,Débit,-2313.85,10166.51,Paris,Virement
TXN000010,2024-01-17,CLIENT_0146,Crédit Agricole,Shopping,Débit,-170.14,13653.61,Bordeaux,Espèces
TXN000011,2024-07-21,CLIENT_0191,La Banque Postale,Virement,Crédit,757.21,1664.27,Lille,Mobile
TXN000012,2024-08-07,CLIENT_0036,La Banque Postale,Remboursement,Crédit,2027.03,2899.47,Strasbourg,Carte bancaire
TXN000013,2024-01-25,CLIENT_0153,BNP Paribas,Transport,Débit,-404.16,10047.46,Nantes,Espèces
TXN000014,2024-11-01,CLIENT_0003,BNP Paribas,Virement,Crédit,2669.12,14551.71,Lille,Prélèvement
TXN000015,2024-02-27,CLIENT_0185,Crédit Agricole,Loisirs,Débit,-1137.04,14284.15,Marseille,Mobile
TXN000016,2024-02-24,CLIENT_0096,Société Générale,Loisirs,Débit,-1271.62,2583.12,Paris,Mobile
TXN000017,2024-06-14,CLIENT_0079,Société Générale,Virement,Crédit,146.41,13901.03,Paris,Virement
TXN000018,2024-10-17,CLIENT_0195,La Banque Postale,Transport,Débit,-1217.55,572.79,Marseille,Virement
TXN000019,2024-12-03,CLIENT_0136,La Banque Postale,Virement,Crédit,4736.9,2059.47,Nantes,Virement
TXN000020,2024-10-03,CLIENT_0096,LCL,Santé,Débit,-1000.49,9911.15,Strasbourg,Carte bancaire
TXN000021,2024-05-06,CLIENT_0151,Société Générale,Santé,Débit,-57.48,8085.78,Paris,Carte bancaire
TXN000022,2024-12-28,CLIENT_0019,La Banque Postale,Alimentation,Débit,-2264.02,12824.35,Bordeaux,Prélèvement
TXN000023,2024-12-08,CLIENT_0147,La Banque Postale,Virement,Crédit,1110.47,1550.83,Strasbourg,Virement
TXN000024,2024-08-30,CLIENT_0109,LCL,Épargne,Débit,-246.84,6181.29,Strasbourg,Carte bancaire
TXN000025,2024-12-10,CLIENT_0028,Société Générale,Transport,Débit,-1821.89,11909.18,Bordeaux,Virement
TXN000026,2024-10-01,CLIENT_0119,Société Générale,Virement,Crédit,743.9,2344.06,Lyon,Espèces
TXN000027,2024-10-08,CLIENT_0024,Société Générale,Transport,Débit,-2498.21,12458.43,Marseille,Espèces
TXN000028,2024-09-05,CLIENT_0016,Société Générale,Virement,Crédit,1108.05,5716.12,Nantes,Carte bancaire
TXN000029,2024-07-18,CLIENT_0179,La Banque Postale,Loisirs,Crédit,3936.39,3921.36,Strasbourg,Virement
TXN000030,2024-04-07,CLIENT_0016,Crédit Agricole,Loisirs,Débit,-150.92,10903.93,Paris,Carte bancaire
TXN000031,2024-10-26,CLIENT_0041,BNP Paribas,Virement,Crédit,2539.11,12717.16,Lyon,Virement
TXN000032,2024-02-05,CLIENT_0104,BNP Paribas,Remboursement,Crédit,386.41,12858.2,Bordeaux,Mobile
TXN000033,2024-10-31,CLIENT_0134,Crédit Agricole,Alimentation,Débit,-1050.97,8546.92,Lille,Virement
TXN000034,2024-12-08,CLIENT_0077,LCL,Shopping,Débit,-992.49,9911.2,Toulouse,Carte bancaire
TXN000035,2024-01-05,CLIENT_0026,BNP Paribas,Virement,Crédit,3124.74,8226.4,Bordeaux,Mobile
TXN000036,2024-05-15,CLIENT_0095,Crédit Agricole,Logement,Crédit,4410.28,13128.69,Marseille,Espèces
TXN000037,2024-10-05,CLIENT_0003,La Banque Postale,Loisirs,Débit,-2468.15,9636.63,Lille,Carte bancaire
TXN000038,2024-03-09,CLIENT_0070,Crédit Agricole,Loisirs,Débit,-272.05,8074.97,Bordeaux,Prélèvement
TXN000039,2024-04-14,CLIENT_0014,BNP Paribas,Loisirs,Débit,-631.55,13576.47,Nantes,Prélèvement
TXN000040,2024-01-23,CLIENT_0042,LCL,Alimentation,Débit,-331.4,14686.87,Nantes,Mobile
TXN000041,2024-01-05,CLIENT_0140,BNP Paribas,Transport,Débit,-2208.35,13510.89,Toulouse,Mobile
TXN000042,2024-10-09,CLIENT_0011,Crédit Agricole,Logement,Débit,-109.36,5152.1,Bordeaux,Virement
TXN000043,2024-12-07,CLIENT_0159,Société Générale,Transport,Débit,-1401.91,13058.05,Bordeaux,Virement
TXN000044,2024-03-31,CLIENT_0106,Société Générale,Épargne,Débit,-1842.73,4648.87,Lille,Virement
TXN000045,2024-12-25,CLIENT_0052,LCL,Transport,Débit,-101.62,6795.7,Toulouse,Prélèvement
TXN000046,2024-04-26,CLIENT_0018,Crédit Agricole,Santé,Débit,-486.86,4588.06,Toulouse,Mobile
TXN000047,2024-07-23,CLIENT_0067,Société Générale,Salaire,Crédit,1689.19,-72.19,Lille,Carte bancaire
TXN000048,2024-02-25,CLIENT_0081,LCL,Remboursement,Crédit,2201.09,10792.45,Lyon,Espèces
TXN000049,2024-10-22,CLIENT_0138,Société Générale,Santé,Débit,-1773.42,-473.79,Toulouse,Espèces
TXN000050,2024-02-05,CLIENT_0077,La Banque Postale,Shopping,Débit,-1660.15,1431.69,Lille,Espèces
TXN000051,2024-06-16,CLIENT_0171,LCL,Épargne,Débit,-1388.26,2473.52,Marseille,Mobile
TXN000052,2024-10-18,CLIENT_0054,LCL,Loisirs,Débit,-2085.14,4210.06,Toulouse,Espèces
TXN000053,2024-08-14,CLIENT_0189,Société Générale,Virement,Crédit,3394.35,7423.2,Lyon,Prélèvement
TXN000054,2024-09-20,CLIENT_0193,Société Générale,Remboursement,Crédit,1709.18,12185.56,Lille,Virement
TXN000055,2024-04-11,CLIENT_0197,BNP Paribas,Logement,Débit,-615.88,6864.61,Strasbourg,Espèces
TXN000056,2024-11-18,CLIENT_0127,LCL,Remboursement,Crédit,1012.45,10293.49,Bordeaux,Virement
TXN000057,2024-12-01,CLIENT_0200,LCL,Alimentation,Crédit,4309.18,13224.71,Bordeaux,Virement
TXN000058,2024-12-22,CLIENT_0032,LCL,Salaire,Crédit,2349.52,8139.79,Marseille,Espèces
TXN000059,2024-12-07,CLIENT_0194,LCL,Salaire,Crédit,4940.07,8729.51,Nantes,Mobile
TXN000060,2024-08-16,CLIENT_0064,Crédit Agricole,Logement,Débit,-1189.31,3517.47,Strasbourg,Virement
TXN000061,2024-05-20,CLIENT_0070,Crédit Agricole,Virement,Crédit,433.54,3928.79,Toulouse,Mobile
TXN000062,2024-02-11,CLIENT_0055,BNP Paribas,Logement,Débit,-960.67,1868.48,Nantes,Espèces
